GA ID,SURV_CODE,SURVEY_NAME,DATA_TYPE,VESSEL,START_DATE,END_DATE,START_PORT,END_PORT,DATA_OWNER,SYSTEM,TVU,Licence
,IN2016_V06,BrisbaneBrisbaneEM710,multibeam,RV Investigator,29/10/2016,12/11/2016,Brisbane,Brisbane,CSIRO,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2016_V06,BrisbaneBrisbaneEM122,multibeam,RV Investigator,29/10/2016,12/11/2016,Brisbane,Brisbane,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
GA4820,IN2017_C01,GABEcologyEM122,multibeam,RV Investigator,10/04/2017,28/04/2017,Hobart,Hobart,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1a,CSIRO
,IN2017_T01,SydneyBroomeEM122,multibeam,RV Investigator,24/09/2017,8/10/2018,Sydney,Broome,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
,IN2017_T01,SydneyBroomeEM710,multibeam,RV Investigator,24/09/2017,8/10/2018,Sydney,Broome,CSIRO,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2017_V03,AbyssalPlainEM710,multibeam,RV Investigator,15/05/2017,17/06/2017,Bell Bay,Brisbane,CSIRO,Kongsberg EM710 (70-100 kHz),IHO S44 1a,CSIRO
,IN2017_V03,AbyssalPlainEM122,multibeam,RV Investigator,15/05/2017,17/06/2017,Bell Bay,Brisbane,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1a,CSIRO
,IN2017_V04,BrisbaneSydneyEM122,multibeam,RV Investigator,31/08/2017,18/09/2017,Brisbane,Sydney,UNSW,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
,IN2017_V04,BrisbaneSydneyEM710,multibeam,RV Investigator,31/08/2017,18/09/2017,Brisbane,Sydney,UNSW,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2018_T01,HobartBrisbaneEM122,multibeam,RV Investigator,6/04/2018,14/04/2018,Hobart,Brisbane,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1a,CSIRO
,IN2018_T01,HobartBrisbaneEM710,multibeam,RV Investigator,6/04/2018,14/04/2018,Hobart,Brisbane,UTAS,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2018_T02,BrisbaneHobartEM122,multibeam,RV Investigator,13/05/2018,20/05/2018,Brisbane,Hobart,UTAS/IMAS,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
,IN2018_T02,BrisbaneHobartEM710,multibeam,RV Investigator,13/05/2018,20/05/2018,Brisbane,Hobart,UTAS/IMAS,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2018_V03,BrisbaneBrisbaneEM122,multibeam,RV Investigator,19/04/2018,9/05/2018,Brisbane,Brisbane,CSIRO,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2018_V04,EACIronInputsEM122,multibeam,RV Investigator,10/09/2018,9/10/2018,Hobart,Hobart,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1a,CSIRO
,IN2019_E01,SingaporeCairnsEM122,multibeam,RV Investigator,27/07/2019,1/08/2019,Brisbane,Hobart,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
,IN2019_E01,SingaporeCairnsEM710,multibeam,RV Investigator,27/07/2019,1/08/2019,Brisbane,Hobart,CSIRO,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2019_T02,BrisbaneDarwinEM122,multibeam,RV Investigator,3/10/2019,13/10/2019,Brisbane,Darwin,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
,IN2019_T02,BrisbaneDarwinEM710,multibeam,RV Investigator,3/10/2019,13/10/2019,Brisbane,Darwin,CSIRO,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2019_V04,CairnsBrisbaneEM122,multibeam,RV Investigator,6/08/2019,2/09/2019,Cairns,Brisbane,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
